# Label; SimBeta; <Q^2>; eQ^2
"MS"; 0.1; 0.0; 0.0
"MS"; 0.5; 0.0; 0.0
"MS"; 1.0; 0.0; 0.0
"MS"; 1.5; 0.4517545; 0.03514832762126255
"MS"; 2.0; 1.923804; 0.2276112981607506
"MS"; 2.5; 2.51861125; 0.186319469480425
"MS"; 3.0; 3.0730465; 0.13393315232522757
"MS"; 3.5; 3.4220165; 0.09657592420054648
"MS"; 4.0; 4.04886125; 0.07640166770888039
"MS"; 4.5; 4.5045115; 0.056464510042240706
"MS"; 5.0; 4.97558075; 0.0480990201331956
"MS"; 5.5; 5.52401925; 0.04892200979027011
"MS"; 6.0; 6.03257525; 0.04239597415287854
"MS"; 6.5; 6.46000625; 0.03706892729390468
"MS"; 7.0; 7.0144615; 0.03499540091949701
"MS"; 7.5; 7.467133; 0.031427522464733945
"MS"; 8.0; 7.93198225; 0.028433600754592184
"MS"; 8.5; 8.40698375; 0.030087621580210645
"MS"; 9.0; 8.93099025; 0.02925760206089961
"MS"; 9.5; 9.37557425; 0.026537104011530373
"MS"; 10.0; 9.80064575; 0.025361840077818713
"MR"; 0.1; 0.0; 0.0
"MR"; 0.5; 0.0; 0.0
"MR"; 1.0; 0.0; 0.0
"MR"; 1.5; 2.5e-7; 2.500000000000001e-7
"MR"; 2.0; 1.79632875; 0.15087790181121444
"MR"; 2.5; 1.98068625; 0.16093077369236533
"MR"; 3.0; 2.944509; 0.1456961684865229
"MR"; 3.5; 3.5279895; 0.09140648933424148
"MR"; 4.0; 4.16443125; 0.09151731348571646
"MR"; 4.5; 4.38477425; 0.06232768121569915
"MR"; 5.0; 4.886611; 0.06263629898688036
"MR"; 5.5; 5.43905975; 0.049662726083273954
"MR"; 6.0; 5.96666825; 0.04452761208183907
"MR"; 6.5; 6.5171225; 0.04243815047125469
"MR"; 7.0; 6.927887; 0.03667920421902176
"MR"; 7.5; 7.46047975; 0.03595808027338114
"MR"; 8.0; 7.914073; 0.03272023345718154
"MR"; 8.5; 8.42123375; 0.034083497076768665
"MR"; 9.0; 8.91337225; 0.029956417703814565
"MR"; 9.5; 9.38017075; 0.027246877443789258
"MR"; 10.0; 9.8307165; 0.027525684054663123
"HS"; 0.1; 0.0; 0.0
"HS"; 0.5; 0.0; 0.0
"HS"; 1.0; 0.0; 0.0
"HS"; 1.5; 0.61383225; 0.03427872507585891
"HS"; 2.0; 2.279641; 0.1913481830784713
"HS"; 2.5; 2.49015425; 0.1285152313704222
"HS"; 3.0; 2.84460825; 0.07995643935885915
"HS"; 3.5; 3.25367025; 0.05032381113571689
"HS"; 4.0; 3.8152015; 0.040325771964544364
"HS"; 4.5; 4.2356705; 0.03422010952463683
"HS"; 5.0; 4.6668245; 0.03285731329641919
"HS"; 5.5; 5.122339; 0.027892594729132282
"HS"; 6.0; 5.51591125; 0.02688850235414632
"HS"; 6.5; 5.93401075; 0.02391971927008101
"HS"; 7.0; 6.36902675; 0.02256899182383674
"HS"; 7.5; 6.6690475; 0.021534574977021364
"HS"; 8.0; 7.10985325; 0.020496653811587093
"HS"; 8.5; 7.48947275; 0.018601068216466916
"HS"; 9.0; 7.86492675; 0.01935964242980061
"HS"; 9.5; 8.24214775; 0.019908141734571977
"HS"; 10.0; 8.59742125; 0.018983786607245524
"HR"; 0.1; 0.0; 0.0
"HR"; 0.5; 0.0; 0.0
"HR"; 1.0; 0.0; 0.0
"HR"; 1.5; 0.60064075; 0.034539686108403224
"HR"; 2.0; 1.578218; 0.1293925605716435
"HR"; 2.5; 2.55019975; 0.1469589823920803
"HR"; 3.0; 2.855173; 0.10496195467765339
"HR"; 3.5; 3.4077845; 0.07508506554326855
"HR"; 4.0; 3.8245075; 0.05665002171021285
"HR"; 4.5; 4.27146625; 0.045265092099831386
"HR"; 5.0; 4.67437275; 0.04156620977670072
"HR"; 5.5; 5.10161775; 0.03658391800910163
"HR"; 6.0; 5.49154275; 0.03560422868919434
"HR"; 6.5; 5.90863725; 0.030518079119439833
"HR"; 7.0; 6.352973; 0.030155527845707925
"HR"; 7.5; 6.74572725; 0.027983456288563736
"HR"; 8.0; 7.07604275; 0.026709751306855288
"HR"; 8.5; 7.42606; 0.026000098255515927
"HR"; 9.0; 7.77594375; 0.02498357344491727
"HR"; 9.5; 8.14972525; 0.024459133301981656
"HR"; 10.0; 8.45511225; 0.025020415517141986
